imdb_title_id,imdb_name_id
tt0038650,nm0593775
tt0038776,nm0000026
tt0038776,nm0807252
tt0038776,nm0941253
tt0038776,nm0799963
tt0038787,nm0000026
tt0038787,nm0000006
tt0038787,nm0001647
tt0038787,nm0129894
tt0038969,nm0913095
tt0038969,nm0237985
tt0038969,nm0059934
tt0038969,nm0666087
tt0039040,nm0000014
tt0039040,nm0526184
tt0039040,nm0027156
tt0039040,nm0191745
tt0039066,nm0000031
tt0039066,nm0001791
tt0039066,nm0000053
tt0039066,nm0350324
tt0039192,nm0000039
tt0039192,nm0268119
tt0039192,nm0733460
tt0039192,nm0481966
tt0039211,nm0872456
tt0039211,nm0862937
tt0039211,nm0805790
tt0039211,nm0856062
tt0039302,nm0000007
tt0039302,nm0000002
tt0039302,nm0071636
tt0039302,nm0001547
tt0039416,nm0000060
tt0039416,nm0570192
tt0039416,nm0002092
tt0039416,nm0002141
tt0039502,nm0214529
tt0039502,nm0362267
tt0039502,nm0749476
tt0039502,nm0602005
tt0039566,nm0001635
tt0039566,nm0002050
tt0039566,nm0000072
tt0039566,nm0350324
tt0039628,nm0350324
tt0039628,nm0000058
tt0039628,nm0668361
tt0039628,nm0516876
tt0039631,nm0000122
tt0039631,nm0180900
tt0039631,nm0734467
tt0039631,nm0507673
tt0039689,nm0000053
tt0039689,nm0339452
tt0039689,nm0000018
tt0039689,nm0281766
tt0039853,nm0001635
tt0039853,nm0001485
tt0039853,nm0943978
tt0039853,nm0001777
tt0040308,nm0000023
tt0040308,nm0000001
tt0040308,nm0492444
tt0040308,nm0587900
tt0040416,nm0000059
tt0040416,nm0001739
tt0040416,nm0491406
tt0040416,nm0460874
tt0040458,nm0002050
tt0040458,nm0000895
tt0040458,nm0393028
tt0040458,nm0233856
tt0040495,nm0943837
tt0040495,nm0000817
tt0040495,nm0001948
tt0040495,nm0001547
tt0040506,nm0000007
tt0040506,nm0000064
tt0040506,nm0000002
tt0040506,nm0000859
tt0040613,nm0000026
tt0040613,nm0001485
tt0040613,nm0002048
tt0040613,nm0219666
tt0040662,nm0628579
tt0040662,nm0000027
tt0040662,nm0909727
tt0040662,nm0838066
tt0040724,nm0000078
tt0040724,nm0001050
tt0040724,nm0238445
tt0040724,nm0000974
tt0040746,nm0000071
tt0040746,nm0197982
tt0040746,nm0335048
tt0040746,nm0389516
tt0040823,nm0001766
tt0040823,nm0000044
tt0040823,nm0723954
tt0040823,nm0179819
tt0040919,nm0001322
tt0040919,nm0001105
tt0040919,nm0884964
tt0040919,nm0492631
tt0040919,nm0471031
tt0040919,nm0822034
tt0040919,nm0448012
tt0041090,nm0000075
tt0041090,nm0000031
tt0041090,nm0391062
tt0041090,nm0263885
tt0041113,nm0002024
tt0041113,nm0409869
tt0041113,nm0238445
tt0041113,nm0001135
tt0041190,nm0001739
tt0041190,nm0396819
tt0041190,nm0833420
tt0041190,nm2168962
tt0041414,nm0605851
tt0041414,nm0864397
tt0041414,nm0106267
tt0041414,nm0898004
tt0041497,nm0288003
tt0041497,nm0110159
tt0041497,nm0409869
tt0041497,nm0352914
tt0041546,nm0696866
tt0041546,nm0000027
tt0041546,nm0387753
tt0041546,nm0339343
tt0041594,nm0000742
tt0041594,nm0492444
tt0041594,nm0639684
tt0041594,nm0000072
tt0041650,nm0601930
tt0041650,nm0424565
tt0041650,nm0035877
tt0041716,nm0000037
tt0041716,nm0000069
tt0041716,nm0308081
tt0041716,nm0587900
tt0041841,nm0000078
tt0041841,nm0000730
tt0041841,nm0544711
tt0041841,nm0875861
tt0041866,nm0000078
tt0041866,nm0238445
tt0041866,nm0000730
tt0041866,nm0424565
tt0041968,nm0779507
tt0041968,nm0214529
tt0041968,nm0002053
tt0041968,nm0447913
tt0041996,nm0000060
tt0041996,nm0549280
tt0041996,nm0581282
tt0041996,nm0593612
tt0042041,nm0000010
tt0042041,nm0562920
tt0042041,nm0639529
tt0042041,nm0943618
tt0042192,nm0000012
tt0042192,nm0000879
tt0042192,nm0001695
tt0042192,nm0002141
tt0042200,nm0002149
tt0042200,nm0444476
tt0042200,nm0129894
tt0042200,nm0619798
tt0042276,nm0391062
tt0042276,nm0000034
tt0042276,nm0002024
tt0042276,nm0820643
tt0042327,nm0916067
tt0042327,nm0001485
tt0042327,nm0002022
tt0042327,nm0528619
tt0042332,nm0940627
tt0042332,nm0531763
tt0042332,nm0041598
tt0042332,nm0271658
tt0042451,nm0000075
tt0042451,nm0000910
tt0042451,nm0000072
tt0042451,nm0852279
tt0042546,nm0000071
tt0042546,nm0285922
tt0042546,nm0528621
tt0042546,nm0395067
tt0042593,nm0000007
tt0042593,nm0002108
tt0042593,nm0522481
tt0042593,nm0717203
tt0042646,nm0000039
tt0042646,nm0001289
tt0042646,nm0137999
tt0042646,nm0351947
tt0042665,nm0000027
tt0042665,nm0132224
tt0042665,nm0909727
tt0042665,nm0039510
tt0042895,nm0000078
